decision_id,timestamp,session_id,question,top_score,second_score,score_gap,top_entity,second_entity,confidence_band,ambiguous,route,event_type,user_reply,resolution,answer_source
b814e3c86b79,2026-09-18T11:11:20,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me how many blocks are there in rns it college,0.6865,0.6732,0.0133,Is there a gym on campus?,How many placements in 2025?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
b814e3c86b79,2026-09-18T11:11:48,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant department like how many departments are there or blocks like it blocks cse block etc,,,,,,,,,resolution,i meant department like how many departments are there or blocks like it blocks cse block etc,abandoned,
97b1b1600c1b,2026-09-18T11:11:49,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant department like how many departments are there or blocks like it blocks cse block etc,0.7625,0.7619,0.0006,CSE (Cyber Security),CSE (Data Science),HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
97b1b1600c1b,2026-09-18T11:13:02,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me how many departments are there in rns it,,,,,,,,,resolution,can you tell me how many departments are there in rns it,abandoned,
2410c430479a,2026-09-18T11:13:03,02ca2831-5db9-436c-8759-30b3d5a413e5,can you tell me how many departments are there in rns it,0.6742,0.6651,0.0091,What departments does RNSIT have?,What can you do,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
2410c430479a,2026-09-18T11:13:30,02ca2831-5db9-436c-8759-30b3d5a413e5,yeah what departments does rns hutti have,,,,,,,,,resolution,yeah what departments does rns hutti have,abandoned,
75512fb48d29,2026-09-18T11:13:31,02ca2831-5db9-436c-8759-30b3d5a413e5,yeah what departments does rns hutti have,0.6943,0.6811,0.0132,What departments does RNSIT have?,What can you do,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
75512fb48d29,2026-09-18T11:13:54,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant how many department does rns it have tell me their names,,,,,,,,,resolution,i meant how many department does rns it have tell me their names,abandoned,
9d2b421ace72,2026-09-18T11:13:55,02ca2831-5db9-436c-8759-30b3d5a413e5,i meant how many department does rns it have tell me their names,0.6797,0.6699,0.0098,What can you do,Who is the HOD of AI ML?,HIGH,True,HIGH_AMBIGUOUS,decision,,pending,
9d2b421ace72,2026-09-18T11:14:46,02ca2831-5db9-436c-8759-30b3d5a413e5,okay tell me who is the principal,,,,,,,,,resolution,okay tell me who is the principal,abandoned,
